employee_id;cidade;cargo;lider_id;turno;salario_base;data_admissao;data_demissao;motivo_saida;faixa_preta_certificado;data_certificacao;nota_desempenho;faltas_trim;tempo_de_casa_meses
E100000;Natal;estoquista;L001;manha;" R$ 2.681,00 ";10/06/2024;;;FALSE;;"3,95";2;12
E100001;Florianópolis;mecanico;L011;noite;" R$ 3.537,00 ";30/05/2024;;;TRUE;14/03/2025;"4,01";1;13
E100002;Natal;lider_area;L023;tarde;" R$ 5.929,00 ";20/05/2024;;;FALSE;;"4,13";1;13
E100003;Ribeirão Preto;motorista_campo;L033;tarde;" R$ 2.809,00 ";21/12/2023;;;FALSE;;"2,52";1;18
E100004;Recife;motorista_campo;L047;noite;" R$ 3.149,00 ";30/01/2024;;;FALSE;;"2,81";5;17
E100005;São Luís;mecanico;L030;tarde;" R$ 3.496,00 ";17/07/2023;;;FALSE;;"2,71";2;23
E100006;Ribeirão Preto;consultor_tecnico;L054;manha;" R$ 3.190,00 ";09/04/2024;;;FALSE;;"2,93";1;14
E100007;Belo Horizonte;estoquista;L051;manha;" R$ 2.604,00 ";07/07/2023;31/01/2025;pedido;FALSE;;"2,83";2;18
E100008;Belém;front_atendimento;L027;manha;" R$ 2.322,00 ";11/11/2023;;;FALSE;;"3,48";1;19
E100009;Porto Alegre;mecanico;L037;manha;" R$ 3.612,00 ";04/07/2023;;;FALSE;;"3,4";5;23
E100010;Belém;mecanico;L028;tarde;" R$ 3.059,00 ";23/04/2024;;;FALSE;;"2,8";4;14
E100011;Natal;mecanico;L005;manha;" R$ 3.204,00 ";25/11/2023;31/01/2025;pedido;FALSE;;"3,03";3;14
E100012;Goiânia;mecanico;L018;manha;" R$ 3.071,00 ";09/09/2023;;;FALSE;;"3,22";3;21
E100013;Manaus;mecanico;L030;manha;" R$ 3.328,00 ";28/03/2024;;;FALSE;;"3,54";3;15
E100014;Natal;estoquista;L023;manha;" R$ 2.483,00 ";22/09/2023;31/10/2024;pedido;FALSE;;"3,09";1;13
E100015;Campinas;estoquista;L007;manha;" R$ 2.341,00 ";22/05/2024;30/04/2024;outros;FALSE;;"2,75";7;0
E100016;Uberlândia;estoquista;L008;tarde;" R$ 2.364,00 ";16/04/2024;;;FALSE;;"3,42";3;14
E100017;Belo Horizonte;front_atendimento;L012;tarde;" R$ 2.431,00 ";03/07/2023;;;FALSE;;"2,8";0;23
E100018;Natal;front_atendimento;L021;manha;" R$ 2.211,00 ";20/05/2024;31/12/2024;pedido;FALSE;;"3,52";1;7
