mes;grupo;ativo_mes;saidas_mes;turnover_mensal;
2024-01;mecanico_treinados;0;0;"0,00%";
2024-01;mecanico_nao_treinados;761;40;"5,26%";
2024-02;mecanico_treinados;0;0;"0,00%";
2024-02;mecanico_nao_treinados;841;38;"4,52%";
2024-03;mecanico_treinados;0;0;"0,00%";
2024-03;mecanico_nao_treinados;901;33;"3,66%";
2024-04;mecanico_treinados;0;0;"0,00%";
2024-04;mecanico_nao_treinados;975;44;"4,51%";
2024-05;mecanico_treinados;0;0;"0,00%";
2024-05;mecanico_nao_treinados;1040;38;"3,65%";
2024-06;mecanico_treinados;0;0;"0,00%";
2024-06;mecanico_nao_treinados;1088;39;"3,58%";
2024-07;mecanico_treinados;0;0;"0,00%";
2024-07;mecanico_nao_treinados;1049;32;"3,05%";
2024-08;mecanico_treinados;0;0;"0,00%";
2024-08;mecanico_nao_treinados;1017;32;"3,15%";
2024-09;mecanico_treinados;0;0;"0,00%";
2024-09;mecanico_nao_treinados;985;43;"4,37%";
2024-10;mecanico_treinados;0;0;"0,00%";
2024-10;mecanico_nao_treinados;942;34;"3,61%";
2024-11;mecanico_treinados;0;0;"0,00%";
2024-11;mecanico_nao_treinados;908;28;"3,08%";
2024-12;mecanico_treinados;0;0;"0,00%";
2024-12;mecanico_nao_treinados;880;25;"2,84%";
2025-01;mecanico_treinados;45;0;"0,00%";
2025-01;mecanico_nao_treinados;810;27;"3,33%";
2025-02;mecanico_treinados;136;6;"4,41%";
2025-02;mecanico_nao_treinados;692;25;"3,61%";
2025-03;mecanico_treinados;232;9;"3,88%";
2025-03;mecanico_nao_treinados;565;23;"4,07%";
2025-04;mecanico_treinados;223;6;"2,69%";
2025-04;mecanico_nao_treinados;542;13;"2,40%";
2025-05;mecanico_treinados;217;1;"0,46%";
2025-05;mecanico_nao_treinados;529;15;"2,84%";
2025-06;mecanico_treinados;216;4;"1,85%";
2025-06;mecanico_nao_treinados;514;14;"2,72%";
