,employee_id,cidade,cargo,lider_id,turno,salario_base,data_admissao,data_demissao,motivo_saida,faixa_preta_certificado,data_certificacao,nota_desempenho,faltas_trim,tempo_de_casa_meses
0,E100000,Natal,estoquista,L001,manha," R$ 2.681,00 ",2024-06-10,,Desconhecido,False,,"3,95",2,12
1,E100001,Florianópolis,mecanico,L011,noite," R$ 3.537,00 ",2024-05-30,,Desconhecido,True,2025-03-14,"4,01",1,13
2,E100002,Natal,lider_area,L023,tarde," R$ 5.929,00 ",2024-05-20,,Desconhecido,False,,"4,13",1,13
3,E100003,Ribeirão Preto,motorista_campo,L033,tarde," R$ 2.809,00 ",2023-12-21,,Desconhecido,False,,"2,52",1,18
4,E100004,Recife,motorista_campo,L047,noite," R$ 3.149,00 ",2024-01-30,,Desconhecido,False,,"2,81",5,17
5,E100005,São Luís,mecanico,L030,tarde," R$ 3.496,00 ",2023-07-17,,Desconhecido,False,,"2,71",2,23
6,E100006,Ribeirão Preto,consultor_tecnico,L054,manha," R$ 3.190,00 ",2024-04-09,,Desconhecido,False,,"2,93",1,14
7,E100007,Belo Horizonte,estoquista,L051,manha," R$ 2.604,00 ",2023-07-07,2025-01-31,pedido,False,,"2,83",2,18
8,E100008,Belém,front_atendimento,L027,manha," R$ 2.322,00 ",2023-11-11,,Desconhecido,False,,"3,48",1,19
9,E100009,Porto Alegre,mecanico,L037,manha," R$ 3.612,00 ",2023-07-04,,Desconhecido,False,,"3,4",5,23
10,E100010,Belém,mecanico,L028,tarde," R$ 3.059,00 ",2024-04-23,,Desconhecido,False,,"2,8",4,14
11,E100011,Natal,mecanico,L005,manha," R$ 3.204,00 ",2023-11-25,2025-01-31,pedido,False,,"3,03",3,14
12,E100012,Goiânia,mecanico,L018,manha," R$ 3.071,00 ",2023-09-09,,Desconhecido,False,,"3,22",3,21
13,E100013,Manaus,mecanico,L030,manha," R$ 3.328,00 ",2024-03-28,,Desconhecido,False,,"3,54",3,15
14,E100014,Natal,estoquista,L023,manha," R$ 2.483,00 ",2023-09-22,2024-10-31,pedido,False,,"3,09",1,13
15,E100015,Campinas,estoquista,L007,manha," R$ 2.341,00 ",2024-05-22,2024-04-30,outros,False,,"2,75",7,0
16,E100016,Uberlândia,estoquista,L008,tarde," R$ 2.364,00 ",2024-04-16,,Desconhecido,False,,"3,42",3,14
17,E100017,Belo Horizonte,front_atendimento,L012,tarde," R$ 2.431,00 ",2023-07-03,,Desconhecido,False,,"2,8",0,23
18,E100018,Natal,front_atendimento,L021,manha," R$ 2.211,00 ",2024-05-20,2024-12-31,pedido,False,,"3,52",1,7
19,E100019,Rio de Janeiro,front_atendimento,L015,noite," R$ 2.184,00 ",2023-11-13,,Desconhecido,False,,"3,14",7,19
20,E100020,Recife,motorista_campo,L051,noite," R$ 3.198,00 ",2024-04-08,,Desconhecido,False,,"2,31",2,14
21,E100021,Florianópolis,mecanico,L034,tarde," R$ 3.547,00 ",2024-01-11,,Desconhecido,True,2025-01-31,"3,73",6,17
22,E100022,Recife,front_atendimento,L011,noite," R$ 2.172,00 ",2023-10-30,,Desconhecido,False,,"2,64",4,20
23,E100023,Natal,mecanico,L002,manha," R$ 3.406,00 ",2024-02-07,,Desconhecido,False,,"3,22",4,16
24,E100024,Curitiba,mecanico,L001,tarde," R$ 3.152,00 ",2024-01-01,2024-10-31,pedido,False,,"4,4",2,9
25,E100025,Uberlândia,front_atendimento,L018,tarde," R$ 2.192,00 ",2024-05-15,,Desconhecido,False,,"3,59",1,13
