,mes,cargo,ativo_mes,saidas_mes,turnover_mensal
0,2024-01,mecanico,761,40,"5,26%"
1,2024-01,estoquista,210,14,"6,67%"
2,2024-01,soldador,120,2,"1,67%"
3,2024-01,front_atendimento,480,24,"5,00%"
4,2024-01,consultor_tecnico,246,11,"4,47%"
5,2024-01,motorista_campo,301,14,"4,65%"
6,2024-01,organizador_patio,251,16,"6,37%"
7,2024-01,lider_area,247,8,"3,24%"
8,2024-01,lider_geral,107,1,"0,93%"
9,2024-01,operacional_total,2723,130,"4,77%"
10,2024-02,mecanico,841,38,"4,52%"
11,2024-02,estoquista,227,10,"4,41%"
12,2024-02,soldador,133,5,"3,76%"
13,2024-02,front_atendimento,541,29,"5,36%"
14,2024-02,consultor_tecnico,274,10,"3,65%"
15,2024-02,motorista_campo,328,13,"3,96%"
16,2024-02,organizador_patio,273,11,"4,03%"
17,2024-02,lider_area,277,8,"2,89%"
18,2024-02,lider_geral,127,4,"3,15%"
19,2024-02,operacional_total,3021,128,"4,24%"
20,2024-03,mecanico,901,33,"3,66%"
21,2024-03,estoquista,248,8,"3,23%"
22,2024-03,soldador,161,5,"3,11%"
23,2024-03,front_atendimento,587,25,"4,26%"
24,2024-03,consultor_tecnico,306,10,"3,27%"
25,2024-03,motorista_campo,351,18,"5,13%"
26,2024-03,organizador_patio,295,17,"5,76%"
27,2024-03,lider_area,299,6,"2,01%"
28,2024-03,lider_geral,136,3,"2,21%"
29,2024-03,operacional_total,3284,125,"3,81%"
30,2024-04,mecanico,975,44,"4,51%"
31,2024-04,estoquista,265,16,"6,04%"
32,2024-04,soldador,170,2,"1,18%"
33,2024-04,front_atendimento,631,26,"4,12%"
34,2024-04,consultor_tecnico,331,9,"2,72%"
35,2024-04,motorista_campo,378,13,"3,44%"
36,2024-04,organizador_patio,314,6,"1,91%"
37,2024-04,lider_area,328,6,"1,83%"
38,2024-04,lider_geral,143,2,"1,40%"
39,2024-04,operacional_total,3535,124,"3,51%"
40,2024-05,mecanico,1040,38,"3,65%"
41,2024-05,estoquista,288,10,"3,47%"
42,2024-05,soldador,186,4,"2,15%"
43,2024-05,front_atendimento,668,19,"2,84%"
44,2024-05,consultor_tecnico,356,12,"3,37%"
45,2024-05,motorista_campo,399,13,"3,26%"
46,2024-05,organizador_patio,341,10,"2,93%"
47,2024-05,lider_area,353,8,"2,27%"
48,2024-05,lider_geral,155,5,"3,23%"
49,2024-05,operacional_total,3786,119,"3,14%"
50,2024-06,mecanico,1088,39,"3,58%"
51,2024-06,estoquista,304,8,"2,63%"
52,2024-06,soldador,200,4,"2,00%"
53,2024-06,front_atendimento,706,21,"2,97%"
54,2024-06,consultor_tecnico,370,11,"2,97%"
55,2024-06,motorista_campo,409,17,"4,16%"
56,2024-06,organizador_patio,357,11,"3,08%"
57,2024-06,lider_area,371,4,"1,08%"
58,2024-06,lider_geral,169,3,"1,78%"
59,2024-06,operacional_total,3974,118,"2,97%"
60,2024-07,mecanico,1049,32,"3,05%"
61,2024-07,estoquista,296,10,"3,38%"
62,2024-07,soldador,196,4,"2,04%"
63,2024-07,front_atendimento,685,24,"3,50%"
64,2024-07,consultor_tecnico,359,5,"1,39%"
65,2024-07,motorista_campo,392,11,"2,81%"
66,2024-07,organizador_patio,346,5,"1,45%"
67,2024-07,lider_area,367,3,"0,82%"
68,2024-07,lider_geral,166,3,"1,81%"
69,2024-07,operacional_total,3856,97,"2,52%"
70,2024-08,mecanico,1017,32,"3,15%"
71,2024-08,estoquista,286,5,"1,75%"
72,2024-08,soldador,192,7,"3,65%"
73,2024-08,front_atendimento,661,20,"3,03%"
74,2024-08,consultor_tecnico,354,7,"1,98%"
75,2024-08,motorista_campo,381,15,"3,94%"
76,2024-08,organizador_patio,341,11,"3,23%"
77,2024-08,lider_area,364,11,"3,02%"
78,2024-08,lider_geral,163,1,"0,61%"
79,2024-08,operacional_total,3759,109,"2,90%"
80,2024-09,mecanico,985,43,"4,37%"
81,2024-09,estoquista,281,7,"2,49%"
82,2024-09,soldador,185,5,"2,70%"
83,2024-09,front_atendimento,641,29,"4,52%"
84,2024-09,consultor_tecnico,347,10,"2,88%"
85,2024-09,motorista_campo,366,12,"3,28%"
86,2024-09,organizador_patio,330,10,"3,03%"
87,2024-09,lider_area,353,7,"1,98%"
88,2024-09,lider_geral,162,1,"0,62%"
89,2024-09,operacional_total,3650,124,"3,40%"
90,2024-10,mecanico,942,34,"3,61%"
91,2024-10,estoquista,274,9,"3,28%"
92,2024-10,soldador,180,3,"1,67%"
93,2024-10,front_atendimento,612,23,"3,76%"
94,2024-10,consultor_tecnico,337,11,"3,26%"
95,2024-10,motorista_campo,354,15,"4,24%"
96,2024-10,organizador_patio,320,8,"2,50%"
97,2024-10,lider_area,346,7,"2,02%"
98,2024-10,lider_geral,161,3,"1,86%"
99,2024-10,operacional_total,3526,113,"3,20%"
100,2024-11,mecanico,908,28,"3,08%"
101,2024-11,estoquista,265,7,"2,64%"
102,2024-11,soldador,177,3,"1,69%"
103,2024-11,front_atendimento,589,11,"1,87%"
104,2024-11,consultor_tecnico,326,6,"1,84%"
